ProductID,TagID
93TGNAY7,14364
93TGNAY7,10904
TYYZ5AV7,16080
TYYZ5AV7,170
5C94FGTQ,16136
5C94FGTQ,10166
XBHKYPQB,12559
XBHKYPQB,10070
728GCZFU,12354
728GCZFU,15011
27R9M103,9405
27R9M103,1482
JDOVOMY2,3846
JDOVOMY2,15927
0KHFMXFN,10018
0KHFMXFN,2426
T4F2EW7G,12193
T4F2EW7G,12058
GL199BEL,14793
GL199BEL,12740
SX7HALUU,6174
SX7HALUU,3977
1AOXE5QW,5472
1AOXE5QW,3796
KOXR70B4,4307
KOXR70B4,14393
X2D1GWO5,16135
X2D1GWO5,15491
ZKI2USNA,11781
ZKI2USNA,15667
EPKS7ECS,5755
EPKS7ECS,158
UB8UO1PA,3909
UB8UO1PA,4584
6ID782KK,5685
6ID782KK,1172
YWJW03Z5,218
YWJW03Z5,1910
44WFTM8R,9307
44WFTM8R,12317
CVYLYMJ3,6238
CVYLYMJ3,15841
9UQRU4ZU,3464
9UQRU4ZU,11619
4RBD28EN,5450
4RBD28EN,1640
XNTCQGCN,15223
XNTCQGCN,4087
T27XMDD2,3610
T27XMDD2,8029
OR97MBZ1,11519
OR97MBZ1,6032
HGFIOVL2,1370
HGFIOVL2,14929
758FMQ42,5412
758FMQ42,9459
8XJVYL79,2097
8XJVYL79,13529
YWS54ZGS,6478
YWS54ZGS,8521
LI5AGJNV,8857
LI5AGJNV,12733
YN96ICPB,4196
YN96ICPB,4358
W2KSX5TA,12634
W2KSX5TA,8443
GF0IT7WH,6770
GF0IT7WH,8427
01MM8M6E,6633
01MM8M6E,8639
YTFM1TLG,13197
YTFM1TLG,442
XNJQXRM1,11558
XNJQXRM1,2728
B961OWR5,16266
B961OWR5,15863
R0VD36R0,6242
R0VD36R0,14741
VLWYYV8I,13826
VLWYYV8I,3802
R34NP2U9,3367
R34NP2U9,16118
LFP5YYLI,1239
LFP5YYLI,4781
XYNAPOCA,14702
XYNAPOCA,5902
AN8PGC9A,14919
AN8PGC9A,5961
EJOM3BJH,2834
EJOM3BJH,14112
8BQDEI82,14966
8BQDEI82,12673
52HPB9QY,13557
52HPB9QY,12734
3VS5XCWL,4746
3VS5XCWL,3009
IZN34WM6,1356
IZN34WM6,8993
E6PDMLSD,12737
E6PDMLSD,7572
CREV63V4,15060
CREV63V4,153
HEB5CHW5,15805
HEB5CHW5,1061
K4BN9L0D,6124
K4BN9L0D,11468
2BBH5XLH,1705
2BBH5XLH,7333
NZ99U0W6,6906
NZ99U0W6,5970
JHQ82GFX,14815
JHQ82GFX,9998
LA0QZ0CZ,5535
LA0QZ0CZ,7564
273RFMHT,15849
273RFMHT,1335
WXWE8K8M,8623
WXWE8K8M,8109
W74EI8WM,10682
W74EI8WM,15172
E2QJSTCD,2585
E2QJSTCD,7514
ERAFRESU,13203
ERAFRESU,2887
AXJKGT1D,11751
AXJKGT1D,3764
D6D6IIET,13850
D6D6IIET,1862
30O9HAXH,7076
30O9HAXH,9634
9Y137KWW,2977
9Y137KWW,8072
9QCU5LIT,10827
9QCU5LIT,1856
D7A6L8TX,12690
D7A6L8TX,10808
381AZNE9,7069
381AZNE9,8757
5U6RM8NQ,860
5U6RM8NQ,12565
81G13OYQ,3263
81G13OYQ,11567
Q6D8PU45,9784
Q6D8PU45,4673
UP51GX64,7498
UP51GX64,9122
HZ0V0CP4,1840
HZ0V0CP4,1494
7370NVFD,15653
7370NVFD,5819
P18HXNO7,7436
P18HXNO7,200
7LSZNWE6,12507
7LSZNWE6,14788
CMDO6EH5,9482
CMDO6EH5,110
BYBMMR12,7917
BYBMMR12,8370
CJVYM871,8768
CJVYM871,7883
BG6310C8,8268
BG6310C8,6456
ZBU2M4S7,1082
ZBU2M4S7,11199
V48DVTYY,11369
V48DVTYY,10902
DZ7167XR,7384
DZ7167XR,13825
NAGQPF4M,13306
NAGQPF4M,6787
HVUA6QCR,8469
HVUA6QCR,12389
QALGU4PU,14141
QALGU4PU,14885
NFCMWTRL,10603
NFCMWTRL,10909
7KEY4N13,13314
7KEY4N13,1454
DYV4IIBE,15798
DYV4IIBE,3345
IS1LBY0Y,14194
IS1LBY0Y,2880
2HC2Q36U,310
2HC2Q36U,10741
Y4VIQZCW,1502
Y4VIQZCW,7204
JLOWSHTS,12804
JLOWSHTS,1803
9ZMDB8EW,13661
9ZMDB8EW,14435
ZRC3DELS,1076
ZRC3DELS,13851
T1PSU1OL,5322
T1PSU1OL,6691
YTGMHSGA,15003
YTGMHSGA,8781
I7H03T4S,16221
I7H03T4S,185
QBRJ1VTE,14541
QBRJ1VTE,5085
CYVT4HC7,13511
CYVT4HC7,3445
C44BLRMA,2809
C44BLRMA,76
AXQOZXAQ,11582
AXQOZXAQ,9213
8M7VZ1RL,6637
8M7VZ1RL,1381
N6AM2SV6,2450
N6AM2SV6,11946
TOME0UZT,11750
TOME0UZT,5359
LUIWVOYB,9882
LUIWVOYB,5379
6J5NNB29,12983
6J5NNB29,11562
NF7YVS6M,962
NF7YVS6M,2514
6ULTHL44,15419
6ULTHL44,11351
VM9GXXZC,8557
VM9GXXZC,14081
1Q3649GM,15649
1Q3649GM,2980
IWXBF9I3,12209
IWXBF9I3,14218
A9WXE065,11839
A9WXE065,1418
KG4C781G,6992
KG4C781G,8059
0QO29QT9,8147
0QO29QT9,9529
8CMR8SVE,2682
